                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5914,                 2.9441,                 3.5899,                 1.7722,                 0.9461,                 0.3579,                  0.459,                0.30899,                0.94206,                0.35544,                0.44811,                0.34837,                0.91327,                 1.6812,                 2.0139,                 1.3424,                 0.0811,                 0.0021,                 0.0021
                      1,                0.74668,                 1.1774,                 1.2339,                 1.1154,                 0.8888,                0.70002,                 0.7767,                0.60641,                 0.8888,                0.70002,                 0.7767,                0.66861,                0.60844,                0.86246,                0.77001,                 1.0908,               0.061279,              0.0042787,              0.0042787
                      2,                0.64534,                0.93309,                  0.739,                 1.0047,                0.93699,                0.85547,                0.92387,                0.71498,                0.93699,                0.85547,                0.92387,                0.77867,                0.57279,                0.74103,                0.58395,                0.96519,               0.041436,              0.0064357,              0.0064357
                      3,                0.67955,                0.82616,                0.66616,                0.98983,                0.97584,                0.94508,                0.98058,                0.78934,                0.97919,                0.94841,                0.98071,                0.82526,                0.60367,                0.80144,                0.49746,                0.96121,               0.021571,              0.0085708,              0.0085708
                      4,                0.70027,                0.88206,                0.72318,                 1.0183,                0.94072,                0.85172,                0.92469,                0.76833,                0.94072,                0.85172,                0.92469,                0.79414,                0.60577,                0.85251,                0.72432,                0.99649,               0.009802,               0.009802,               0.009802
                      5,                0.70984,                0.85871,                 0.6816,                 1.0103,                0.87923,                0.96685,                0.94905,                0.75489,                0.87923,                0.96685,                0.94905,                0.81095,                0.57914,                0.72692,                 0.8052,                0.99995,               0.009802,               0.009802,               0.009802
                      6,                0.68082,                0.83528,                0.56989,                0.99547,                0.96091,                0.97005,                 0.9921,                0.78068,                0.96091,                0.97005,                 0.9921,                0.81715,                0.65626,                0.79742,                0.70572,                 1.0343,              0.0097525,              0.0097525,              0.0097525
                      7,                0.68961,                0.81182,                0.57505,                 1.0057,                0.89964,                0.94195,                0.92393,                0.76363,                0.90281,                0.94528,                0.92518,                0.78758,                0.59538,                0.90195,                0.48348,                 1.0138,               0.009703,               0.009703,               0.009703
                      8,                0.68802,                0.75949,                0.55015,                  1.018,                0.89676,                0.91382,                0.98388,                0.75298,                0.89676,                0.91382,                0.98388,                  0.819,                0.58393,                0.76427,                0.57386,                 0.9825,              0.0096535,              0.0096535,              0.0096535
                      9,                0.68354,                0.80435,                0.51937,                 1.0043,                0.97505,                0.96542,                0.97959,                0.79748,                0.97505,                0.96542,                0.97959,                0.85821,                0.58728,                0.71963,                0.47797,                0.98048,               0.009604,               0.009604,               0.009604
                     10,                0.68155,                 0.8372,                0.52728,                 1.0151,                0.96579,                0.92323,                0.96401,                0.76579,                0.96579,                0.92323,                0.96401,                0.80284,                 0.6655,                0.86962,                0.49431,                 1.0287,              0.0095545,              0.0095545,              0.0095545
                     11,                0.68937,                0.78223,                0.53437,                 1.0137,                0.90711,                      1,                0.98667,                0.83022,                0.90711,                      1,                0.98667,                0.83968,                0.59688,                0.76407,                0.44756,                  1.007,               0.009505,               0.009505,               0.009505
                     12,                0.67976,                0.78113,                0.49929,                  1.003,                 0.8848,                0.89464,                0.91326,                0.72205,                 0.8848,                0.89464,                0.91302,                0.72355,                0.63702,                0.91348,                0.61458,                 1.0515,              0.0094555,              0.0094555,              0.0094555
                     13,                0.65039,                0.77057,                0.49834,                 0.9968,                0.92739,                0.97973,                0.98739,                0.79809,                0.92739,                0.97973,                0.98739,                0.78135,                0.60461,                0.77373,                0.47512,                 1.0143,               0.009406,               0.009406,               0.009406
                     14,                0.66164,                0.74202,                  0.506,                0.99156,                0.95053,                0.96751,                  0.992,                0.84689,                0.95053,                0.96751,                  0.992,                0.87635,                0.54749,                0.67139,                0.44971,                0.98251,              0.0093565,              0.0093565,              0.0093565
                     15,                0.63029,                0.80228,                0.48834,                0.98479,                0.91654,                      1,                0.98071,                 0.8236,                0.91654,                      1,                0.98071,                0.80558,                0.55182,                0.70452,                0.42274,                0.97069,               0.009307,               0.009307,               0.009307
                     16,                 0.6434,                 0.7583,                 0.4758,                0.98533,                0.99216,                 0.9877,                0.99436,                0.83896,                0.99216,                 0.9877,                0.99436,                 0.8411,                0.52611,                0.78568,                0.40173,                0.94983,              0.0092575,              0.0092575,              0.0092575
                     17,                0.62952,                0.72094,                0.46212,                0.97998,                0.96176,                0.99788,                  0.995,                0.86543,                0.96176,                0.99788,                  0.995,                0.86553,                 0.5436,                0.61096,                0.41883,                0.95975,               0.009208,               0.009208,               0.009208
                     18,                0.61064,                0.69064,                0.46738,                0.97575,                0.96828,                0.97823,                0.99497,                0.84673,                0.96828,                0.97823,                0.99497,                0.87453,                0.56867,                0.69175,                0.43304,                0.99611,              0.0091585,              0.0091585,              0.0091585
                     19,                0.61998,                0.75715,                0.46078,                0.98194,                0.98658,                0.99485,                  0.995,                0.83803,                0.98658,                0.99485,                  0.995,                 0.8953,                0.52808,                0.61927,                0.41311,                0.96462,               0.009109,               0.009109,               0.009109
                     20,                0.61588,                 0.7399,                 0.4549,                0.98753,                0.97653,                      1,                  0.995,                0.85035,                0.97653,                      1,                  0.995,                0.88228,                0.51976,                0.64569,                0.36109,                0.95466,              0.0090595,              0.0090595,              0.0090595
                     21,                 0.6084,                0.73956,                0.44783,                0.98415,                0.98149,                      1,                0.99455,                 0.8458,                0.98149,                      1,                0.99455,                0.84828,                0.53936,                0.70097,                0.37723,                0.97915,                0.00901,                0.00901,                0.00901
                     22,                0.61267,                0.71803,                0.44397,                 0.9728,                0.97963,                      1,                0.99386,                0.85985,                0.97963,                      1,                0.99386,                0.84069,                0.50663,                 0.6792,                0.35795,                0.95609,              0.0089605,              0.0089605,              0.0089605
                     23,                0.61395,                0.72812,                0.44688,                0.98024,                0.94694,                      1,                0.99409,                0.86975,                0.94694,                      1,                0.99233,                0.86892,                0.50092,                0.72705,                0.39222,                0.95136,               0.008911,               0.008911,               0.008911
                     24,                 0.6077,                0.63822,                0.44321,                0.97453,                0.96599,                0.99494,                0.99364,                0.85278,                0.96599,                0.99494,                0.99364,                0.89551,                0.53018,                0.65765,                  0.377,                 0.9434,              0.0088615,              0.0088615,              0.0088615
                     25,                0.62808,                0.69255,                0.45197,                0.99158,                0.95076,                0.99977,                0.99321,                0.85396,                0.95076,                0.99977,                0.99321,                0.90025,                 0.5068,                0.60034,                0.36088,                0.94888,               0.008812,               0.008812,               0.008812
                     26,                0.61236,                0.68268,                0.45943,                0.97935,                0.95712,                0.99399,                0.99278,                0.85439,                0.95712,                0.99399,                0.99278,                0.89086,                0.49711,                0.58673,                0.37017,                0.93283,              0.0087625,              0.0087625,              0.0087625
                     27,                  0.595,                0.70082,                0.44243,                0.96764,                0.97066,                0.99486,                0.98868,                0.86185,                0.97066,                0.99486,                0.98868,                0.84436,                0.51051,                0.60117,                0.36824,                 0.9318,               0.008713,               0.008713,               0.008713
                     28,                0.60745,                0.68576,                0.44482,                0.96518,                 0.9913,                 0.9948,                  0.995,                0.87589,                 0.9913,                 0.9948,                  0.995,                0.85737,                0.49416,                0.60406,                0.34199,                0.93186,              0.0086635,              0.0086635,              0.0086635
                     29,                0.58276,                0.67611,                0.42689,                0.96383,                0.97047,                0.98895,                0.99324,                0.85188,                0.97047,                0.98895,                0.99324,                0.88047,                0.51908,                0.63263,                0.37226,                0.95101,               0.008614,               0.008614,               0.008614
                     30,                0.58541,                0.65587,                0.42053,                0.95826,                0.98765,                0.99639,                  0.995,                0.84992,                0.98765,                0.99639,                  0.995,                 0.8929,                0.50164,                0.62249,                0.38196,                0.94327,              0.0085645,              0.0085645,              0.0085645
                     31,                0.56543,                0.69764,                0.41256,                0.96472,                0.97264,                      1,                0.99324,                0.81996,                0.97264,                      1,                0.99324,                0.87293,                0.48244,                0.59099,                0.34474,                0.94214,               0.008515,               0.008515,               0.008515
                     32,                0.58388,                 0.6945,                0.41244,                 0.9712,                0.98611,                 0.9948,                  0.995,                0.85332,                0.98611,                 0.9948,                  0.995,                0.88846,                0.48888,                0.59977,                0.37887,                0.94334,              0.0084655,              0.0084655,              0.0084655
                     33,                0.57145,                0.66159,                0.41431,                 0.9652,                0.98014,                      1,                  0.995,                0.87848,                0.98014,                      1,                  0.995,                 0.8965,                0.46573,                0.58243,                0.33414,                0.92977,               0.008416,               0.008416,               0.008416
                     34,                 0.5755,                0.67848,                0.41739,                0.97145,                0.98352,                0.99683,                  0.995,                0.87387,                0.98352,                0.99683,                  0.995,                0.89988,                0.50454,                0.59647,                0.40176,                0.92902,              0.0083665,              0.0083665,              0.0083665
                     35,                0.57752,                0.66097,                0.41382,                 0.9752,                0.98438,                0.99644,                  0.995,                0.87689,                0.98438,                0.99644,                  0.995,                0.90998,                0.47617,                0.56936,                0.35979,                 0.9233,               0.008317,               0.008317,               0.008317
                     36,                0.56148,                0.63988,                0.41318,                0.95037,                0.98715,                      1,                  0.995,                0.88495,                0.98715,                      1,                  0.995,                0.89921,                0.46862,                0.58028,                0.33597,                0.92059,              0.0082675,              0.0082675,              0.0082675
                     37,                0.56336,                0.66285,                0.40409,                 0.9657,                0.97067,                0.99174,                0.99324,                0.88475,                0.97067,                0.99174,                0.99324,                0.91049,                0.47358,                0.55497,                0.31999,                 0.9465,               0.008218,               0.008218,               0.008218
                     38,                0.57424,                0.71183,                 0.4088,                0.95596,                0.98388,                0.99765,                  0.995,                0.85202,                0.98388,                0.99765,                  0.995,                0.87625,                 0.4836,                0.63722,                0.33051,                0.93718,              0.0081685,              0.0081685,              0.0081685
                     39,                0.54821,                 0.6684,                0.39433,                0.95662,                0.97155,                0.99778,                  0.995,                0.86129,                0.97155,                0.99778,                  0.995,                0.88355,                0.48203,                0.61173,                0.34683,                0.93374,               0.008119,               0.008119,               0.008119
                     40,                0.53628,                0.67843,                0.38708,                0.94722,                0.98643,                      1,                0.99455,                0.86101,                0.98643,                      1,                0.99455,                0.88543,                0.47897,                0.59956,                0.32612,                0.94734,              0.0080695,              0.0080695,              0.0080695
                     41,                 0.5562,                0.62661,                0.39238,                0.95663,                0.98137,                0.98557,                0.99409,                0.87322,                0.98137,                0.98557,                0.99409,                0.90425,                0.47105,                0.57221,                 0.3122,                0.93824,                0.00802,                0.00802,                0.00802
                     42,                0.55237,                0.65513,                0.38243,                0.94488,                0.98671,                0.99961,                0.99477,                0.87017,                0.98671,                0.99961,                0.99477,                 0.9064,                0.47651,                0.59742,                0.32004,                0.92984,              0.0079705,              0.0079705,              0.0079705
                     43,                0.55178,                0.64518,                0.39517,                0.95329,                0.98533,                0.98983,                0.99477,                0.89434,                0.98533,                0.98983,                0.99477,                0.90705,                0.44273,                0.56802,                0.30577,                0.92276,               0.007921,               0.007921,               0.007921
                     44,                0.54086,                0.65422,                0.38669,                0.96368,                0.94388,                0.99655,                0.99453,                0.88301,                0.94388,                0.99655,                0.99453,                0.88858,                0.47379,                0.60335,                0.32513,                0.92792,              0.0078715,              0.0078715,              0.0078715
                     45,                0.52708,                0.66885,                0.38673,                0.94539,                0.97104,                0.98937,                0.99389,                  0.895,                0.97104,                0.98937,                0.99389,                0.89556,                0.45233,                0.55952,                0.31713,                0.92751,               0.007822,               0.007822,               0.007822
                     46,                0.54656,                 0.6529,                0.40222,                 0.9551,                 0.9781,                0.99026,                0.99477,                0.86911,                 0.9781,                0.99026,                0.99477,                0.88947,                0.45342,                0.57756,                0.31835,                0.93801,              0.0077725,              0.0077725,              0.0077725
                     47,                0.56382,                0.70329,                 0.4205,                0.95277,                0.98404,                0.99461,                  0.995,                0.88483,                0.98404,                0.99461,                  0.995,                0.91708,                0.45165,                0.57947,                0.31802,                0.93484,               0.007723,               0.007723,               0.007723
